Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Networks,Ad Group,Ad Group Status,Keyword,Match Type,Max CPC,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Description 1,Description 2,Description 3,Path 1,Path 2,Status
GTFS Scorecard - Program Report Bundle,,,,,Program and TA-center,,,,,https://gtfsscorecard.org/bundle/,"Board Reports, Every Agency",For State Transit Programs,"One Archive, Your Branding",$149 for Up to 25 Agencies,Package every supported agency's GTFS quality report into one branded archive.,"Delivered within 2 business days, guaranteed, or the purchase is refunded.","Grades, methodology, and listings are never for sale. Same numbers as the public site.",,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Validator and report,Enabled,,,,,,,,,,,,,,
GTFS Scorecard - Program Report Bundle,,,,,Validator and report,,gtfs validator report,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Validator and report,,mobilitydata validator errors explained,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Validator and report,,gtfs validator notices explained,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Validator and report,,gtfs feed quality dashboard,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Validator and report,,gtfs feed health monitoring,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Validator and report,,,,,https://gtfsscorecard.org/bundle/,GTFS Validator Board Reports,Reports for Every Agency,"One Branded Archive, $149+",Monthly Refresh Available,Turn MobilityData validator results into board-ready GTFS quality reports.,"One report per agency, one archive, your program's name and logo on the cover.",,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Vendor and consultancy,Enabled,,,,,,,,,,,,,,
GTFS Scorecard - Program Report Bundle,,,,,Vendor and consultancy,,transit data quality reporting tool,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Vendor and consultancy,,transit data quality score,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Vendor and consultancy,,transit data quality kpi,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Vendor and consultancy,,,,,https://gtfsscorecard.org/bundle/,GTFS Reports for Clients,"One Archive, Every Agency",Branded Board Reports,"Refunded If Late, Guaranteed",Prepare board-ready GTFS data quality reports for every agency you support.,"One-time from $149, or a refreshed monthly archive from $49. No influence on grades.",,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,gtfs stops.txt download,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,gtfs feed download,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,what is gtfs,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,gtfs validator free,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,gtfs.zip example,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,mobilitydata gtfs validator github,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,gtfs schedule format,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,transit agency gtfs feed url,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,stops.txt,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,download,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,free,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,open source,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,github,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,example,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,tutorial,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,how to create gtfs,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,gtfs generator,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,gtfs builder,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,format,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,specification,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,schema,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,what is,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,trip planner,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,route planner,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,app,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,job,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,jobs,Campaign Negative,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,,,career,Campaign Negative,,,,,,,,,,,,Enabled
